RegionID,SizeRank,RegionName,RegionType,StateName,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21
102001,0,United States,Country,,190167,192333,195000,197908,198335,194568,189993,185900,183667,180000,176400,173400,171900,172833,175833,179667,181333,179000,176000,172833,172847,173480,173013,172000,170350,172317,174983,180000,183333,183333,180000,176667,176167,174500,172000,168167,167333,168500,172167,175000,176333,173667,170333,167633,167133,165467,163167,162333,166000,171833,178167,182500,184667,182812,180312,178979,180333,179500,177833,177667,181500,188167,195500,201667,203667,200333,197000,194000,195000,193300,192300,190879,193246,197879,203410,207743,210110,207333,204000,201667,203312,202978,201978,202000,205667,211500,217083,220750,221250,218333,214667,213333,215000,215000,212833,211167,214500,220000,225833,229167,230800,228300,226633,225667,227000,226000,224667,224333,228000,232333,238000,241000,242419,240386,238053,237300,238000,238000,238333,239600,243267,246933,251000,253333,253333,249910,247243,246910,247967,247967,246633,246667,250000,256000,262333,265967,266633,263633,261667,260728,262395,262328,262933,264600,268000,269167,271033,277033,284533,290667,293000,295167,295500,293833,293471,298471
394913,1,"New York, NY",Msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369333,366333,365667,363333,367585,375585,380585,383000,373333,362750,352750,347958,346875,345208,346667,350000,360000,370000,375958,374925,368008,360383,355417,352333,350683,348350,345017,351892,363558,378559,389667,389667,385992,375325,368767,368408,368568,366793,362493,363333,373333,386667,397333,395997,389164,381831,378167,380000,379667,378000,374000,376000,386000,396047,404380,403380,395667,385667,381167,381167,381167,378333,378667,380333,390333,400000,410333,408667,402667,394333,390333,388000,388500,389133,394133,399967,411667,422333,428667,427000,418000,409967,404300,402633,401000,400000,404000,410667,422333,431667,440000,437833,431167,422500,416333,416333,416667,416667,416000,417667,426667,435667,440667,438617,433284,429617,427667,429333,429667,430733,432733,439349,449423,456090,466141,476333,487000,493667,495667,496667,495000,496667
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,535333,525667,520000,510000,498333,479667,466333,453000,446667,431333,427667,419333,418000,421333,433000,443000,442583,440917,437583,435667,429000,425667,416000,416000,415333,426000,426583,432250,430250,432417,425750,422750,415000,409500,401167,402500,408000,414667,416667,418333,416667,413333,401667,393333,385000,378417,374417,379417,396000,408583,415250,418417,421500,421500,421667,425000,433333,431667,431000,437667,464000,488000,506333,510000,515000,510000,506483,502150,507150,504833,507500,510417,524417,536083,544167,549333,552333,549667,548000,543000,540333,535333,539000,545000,558333,565000,572667,575667,575667,571333,565000,565000,568333,571000,572667,577000,589333,603000,612833,612833,613583,610750,612083,609333,607333,604750,604083,611417,621000,631667,637500,644167,645833,646833,641833,640167,640963,637629,642796,648500,661583,673083,681417,686667,685000,680000,676333,673000,666000,659333,654667,663000,675862,682195,688862,696333,699667,700000,693333,694167,694833,697833,700667,705000,704667,701000,702667,720667,747000,765667,775000,776167,773500,766833,769333,783667
394463,3,"Chicago, IL",Msa,IL,251083,252750,256083,261333,264000,260667,251333,240333,234667,227000,219167,213167,213250,216083,219917,223167,225333,221500,215500,210000,206667,201833,196833,198383,201550,209550,214667,219667,224000,219000,215667,207417,204083,200333,196250,191250,188333,189333,196667,204000,209667,202333,193167,182000,178667,172167,166000,165667,173333,184000,197667,205000,209667,201333,190007,182840,178757,176750,170917,170417,177583,190917,206167,218000,223467,219550,211383,203333,196917,192750,186967,187633,192300,204000,218667,227233,233900,227567,221000,211000,205000,199345,194345,196012,205000,218167,229833,234167,234167,227500,220833,213250,210583,206250,203833,205000,214333,226167,236000,241167,242800,235548,228014,220714,217967,216000,215000,220000,228667,238333,246667,249667,248333,241667,233833,229833,228167,227667,226667,229000,237333,248665,258832,261832,258500,251000,244663,241663,239163,237083,235750,238250,245333,253000,259667,261333,260000,253567,248317,244983,243397,240313,240647,247000,258667,263333,265000,266667,273333,277667,279833,278167,276167,271667,269667,273500
394514,4,"Dallas-Fort Worth, TX",Msa,TX,150258,153929,156304,159069,159732,156099,152633,148300,146633,142333,141532,141532,144199,148300,153300,158241,159258,156091,152150,148421,146921,143155,142900,144233,150000,152667,155967,157967,160967,159233,155733,151733,152167,151333,150967,148383,149218,150918,154001,157467,159133,157300,154000,149967,151467,149800,150667,151349,156683,162183,166584,169584,169584,168000,165000,163333,163500,162833,162500,163500,170467,177817,183817,187183,188333,185833,182167,179000,179000,176000,176833,178750,185083,190250,196333,200833,202500,197688,194188,192521,195667,195000,196083,198250,206583,214133,220967,222633,222000,216333,213000,210000,212333,210667,212667,215833,224000,232000,239000,241667,241667,237500,236667,235833,237500,237500,240000,243667,250446,257113,261779,263000,261333,256667,253667,251667,254667,254000,254704,256704,263038,269412,274412,277078,275300,268883,263853,260545,261628,258655,258663,260330,267000,274417,279383,282383,280300,276000,273333,271500,273817,272749,274249,274599,280833,283000,287665,291998,298165,300167,301667,303333,303667,300498,303504,311504
394974,5,"Philadelphia, PA",Msa,PA,222753,227171,232171,240519,245483,243483,235617,227967,222967,219167,214167,210500,209333,212000,217667,224333,230000,228000,222333,215000,212650,211650,212300,211617,213283,214633,220064,227898,233898,235167,229333,223667,220333,217500,214167,209167,208300,208383,216717,225083,231167,226167,217833,211667,210667,207333,203967,198300,201633,208000,219667,228667,234000,230633,223967,220633,220000,218667,212267,208767,210433,216733,227717,238050,244567,240250,232217,225800,223967,220667,214000,210667,212000,218667,228368,236998,243632,238264,231633,226167,226167,222833,215347,212014,213955,221908,231433,239475,241175,238283,231633,227300,222140,218107,215773,214300,217500,224167,235833,244967,247600,242600,235967,231667,231667,229167,224167,220833,225000,234567,246233,252233,254333,246629,240596,235596,234967,231667,228000,226967,230300,237300,244333,251000,256000,254000,248317,241650,239317,236667,233000,234667,240667,250194,258861,266861,270667,265333,258000,253300,252949,250449,245816,244500,253667,261667,268333,271667,279000,282700,282700,280367,280000,277333,270667,266873
394692,6,"Houston, TX",Msa,TX,153668,155335,158167,162033,163366,162366,157483,151283,145617,141825,140377,142044,146519,152667,158667,164333,166667,164333,159333,154998,152998,151665,151000,151333,154003,155503,158169,159333,161483,160150,157842,155840,156840,154982,153317,152650,152975,155657,156990,160665,162833,161167,159800,156633,158293,154552,151518,150558,157833,165345,170311,171478,170667,167326,165323,166404,169078,167082,164000,164533,173867,182867,189333,190633,190633,187633,184000,182333,183167,183167,182500,180667,186762,191704,200037,202242,208300,205967,203333,199000,203000,203820,203978,202978,206325,212800,218133,222377,222244,217744,213333,208500,210667,208833,209333,208333,213224,219058,224058,228667,229000,226000,221000,220967,223133,222217,220167,221000,226250,231667,234967,236596,234929,232629,230667,230065,229065,226065,225000,226667,234000,240667,244000,245000,243333,239967,236300,234633,237000,235633,234633,235633,241333,247333,251167,252833,253000,249167,245167,244366,247363,247363,247963,246632,251632,251665,256000,261000,267667,268333,266953,266953,270287,270000,273000,279500
395209,7,"Washington, DC",Msa,DC,380250,385216,392213,400297,396997,381667,360000,341667,336667,335000,330000,325000,320000,324833,330833,344167,349300,345282,333615,322648,320667,312333,308333,306418,313884,323884,333248,346829,348496,349832,343783,345450,346333,338332,335713,332380,340382,349667,356667,365667,365667,362417,347165,339308,335891,335476,330000,331360,340527,356527,369297,380130,379222,371425,362219,360021,362021,359560,353801,354633,362966,380798,394632,405465,403426,394468,383668,378740,380033,380000,375543,372428,375761,391406,402522,413060,408871,398871,388667,382000,388667,385000,383333,382032,390366,403699,407848,408848,402182,398333,392338,390671,389004,384000,382300,379617,392617,401343,411693,412026,409135,400802,394802,390589,395589,394889,394933,390325,399090,410790,421064,423000,419667,412667,404833,399833,404167,403000,401333,401667,411667,422440,427440,430773,430113,426746,418737,415291,416991,414167,414167,415500,427330,438997,445997,448333,445833,435800,429100,428267,434967,431667,429667,436300,452967,459967,457000,462000,467000,470000,466069,462736,461069,451667,445889,459222
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,300000,298667,298667,298667,298667,290333,278667,265000,256667,248333,240883,236550,231550,230667,228000,232333,230667,227667,220000,215000,213333,211667,208333,206667,203333,205000,203833,205500,207133,204967,206633,204517,204517,199850,197000,193667,193333,196667,203333,204000,199667,191333,187833,185833,186667,184500,184167,183333,187167,190500,197167,201667,205667,207150,207817,207150,208817,209817,210150,213667,222000,233000,240667,245667,249333,248333,245000,245000,246667,248276,246193,247860,251583,260333,267000,273333,273000,269913,267163,265830,267433,266850,268183,268000,271333,275000,280000,283333,283333,280000,277000,274808,277808,277475,278667,276667,280000,284333,291667,295000,295000,294667,294667,294667,293333,291665,294628,296962,301963,304000,309333,312667,317333,316300,312967,312967,314050,317383,316050,318333,320000,323333,326667,329167,329167,327500,330000,333333,334000,330333,327000,328000,329833,333167,334833,339333,341667,342000,341000,342000,345000,348167,348167,348167,348667,350333,353333,359667,367983,374317,377650,379333,381667,383333,386667,395000
394347,9,"Atlanta, GA",Msa,GA,187567,189967,193433,196200,195133,187967,181500,174800,170833,166633,161618,158618,155951,158000,162000,168000,170333,167000,162667,158667,158000,150667,143000,137300,141300,149967,154300,154833,150167,145900,139700,136700,138100,140433,136417,129983,126250,129900,135883,141950,148538,149221,147323,143721,141388,137620,135141,138808,149475,161000,171083,175083,174083,169383,163050,161863,163147,162130,165983,171283,183300,192125,199492,205158,203963,196929,189263,184300,187333,186967,187300,187569,193236,202903,209300,212555,209222,203455,197100,193282,193882,193682,195833,196780,203717,212627,218847,221910,216167,211167,204500,204333,208000,208000,206598,205255,212255,219657,223667,224000,219717,214683,210017,210583,213949,213817,213367,215034,220833,226667,230612,232678,231012,227067,224333,224520,228451,229118,230598,231667,238333,245000,250000,251633,248802,247117,245483,246648,246667,245820,245147,245980,250778,258752,265418,270300,268967,264800,260774,261440,264774,264133,265833,267500,275667,275262,276262,278595,285667,290333,291453,291453,290786,288333,290333,298667
